Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Brett Hundley,Cardinals,2020,1,"$1,047,500","$1,047,500","$887,500",0.5%,"$1,349,806","$1,349,806","$1,143,630"
Brett Hundley,SEA/GB,2015,4,"$2,503,632","$625,908","$223,632",0.4%,"$4,462,783","$1,115,696","$398,629"
Brett Hundley,Colts,2021,1,"$320,000","$320,000",$0,0.2%,"$447,825","$447,825",$0
Brett Hundley,Colts,2021,1,"$293,000","$293,000",$0,0.2%,"$410,039","$410,039",$0
Brett Hundley,Colts,2021,1,"$252,000","$252,000",$0,0.1%,"$352,662","$352,662",$0
Brett Hundley,Colts,2021,1,"$252,000","$252,000",$0,0.1%,"$352,662","$352,662",$0
Brett Hundley,Ravens,2022,1,"$277,200","$277,200",$0,0.1%,"$340,043","$340,043",$0
Brett Hundley,Saints,2022,1,"$277,200","$277,200",$0,0.1%,"$340,043","$340,043",$0
Brett Hundley,Ravens,2022,1,"$277,200","$277,200",$0,0.1%,"$340,043","$340,043",$0
Brett Rypien,LAR/NYJ,2023,1,"$1,080,000","$1,080,000",$0,0.5%,"$1,227,011","$1,227,011",$0
Brett Rypien,Rams,2023,1,"$1,080,000","$1,080,000",$0,0.5%,"$1,227,011","$1,227,011",$0
Brett Rypien,Broncos,2021,1,"$850,000","$850,000",$0,0.5%,"$1,189,534","$1,189,534",$0
Brett Rypien,Broncos,2022,1,"$965,000","$965,000",$0,0.5%,"$1,183,770","$1,183,770",$0
Brett Rypien,Vikings,2024,1,"$1,125,000","$1,125,000",$0,0.4%,"$1,125,000","$1,125,000",$0
Brett Rypien,Bears,2024,1,"$1,125,000","$1,125,000",$0,0.4%,"$1,125,000","$1,125,000",$0
Brett Rypien,Broncos,2020,2,"$1,525,000","$762,500",$0,0.4%,"$1,965,111","$982,555",$0
Brett Rypien,Broncos,2020,2,"$1,260,000","$630,000",$0,0.3%,"$1,623,633","$811,816",$0
